Phone Model,BD Price,Phone URL
Alcatel 2053D Folding Phone Dual Sim,"2,750",https://www.clickbd.com/bangladesh/2727286-alcatel-2053d-folding-phone-dual-sim.html
"Huawei Y9s (Black, 128 GB)  (6 GB RAM)","25,990",https://www.clickbd.com/bangladesh/2729778-huawei-y9s-black-128-gb-6-gb-ram.html
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)  (6 GB RAM)","27,490",https://www.clickbd.com/bangladesh/2729777-samsung-galaxy-a51-prism-crush-blue-128-gb-6-gb-ram.html
"Samsung Galaxy M21 (Raven Black, 64 GB)  (4 GB RAM)","17,990",https://www.clickbd.com/bangladesh/2729773-samsung-galaxy-m21-raven-black-64-gb-4-gb-ram.html
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)  (6 GB RAM)","25,990",https://www.clickbd.com/bangladesh/2729771-samsung-galaxy-a31-prism-crush-black-128-gb-6-gb-ram.html
"Samsung Galaxy M21 (Midnight Blue, 128 GB)  (6 GB RAM)","18,990",https://www.clickbd.com/bangladesh/2729770-samsung-galaxy-m21-midnight-blue-128-gb-6-gb-ram.html
"Samsung Galaxy M40 (Seawater Blue, 64 GB)  (4 GB RAM)","21,990",https://www.clickbd.com/bangladesh/2729769-samsung-galaxy-m40-seawater-blue-64-gb-4-gb-ram.html
,,https://www.clickbd.com/search?category=mobile-phones
Western D46 4 Sim Mobile Phone with 1 Year Warranty,"1,499",https://www.clickbd.com/bangladesh/2727324-western-d46-4-sim-mobile-phone-with-1-year-warranty.html
Orange B6 4 Sim Mobile Phone Auto Call Records With Warranty,"1,799",https://www.clickbd.com/bangladesh/2727310-orange-b6-4-sim-mobile-phone-auto-call-records-with-warranty.html
Maxtel Max 11 Dual Sim Mini Phone with Warranty,"1,350",https://www.clickbd.com/bangladesh/2727299-maxtel-max-11-dual-sim-mini-phone-with-warranty.html
Kingstar Mobile Style 1 Dual Sim Carve Body,"1,299",https://www.clickbd.com/bangladesh/2727296-kingstar-mobile-style-1-dual-sim-carve-body.html
Hello Kitty W88 Folding Mobile,"2,499",https://www.clickbd.com/bangladesh/2727288-hello-kitty-w88-folding-mobile.html
F316 Land Phone Single Sim With Keypad Light,"1,650",https://www.clickbd.com/bangladesh/2727287-f316-land-phone-single-sim-with-keypad-light.html
"Samsung Galaxy Tab A 8"" inch","10,500",https://www.clickbd.com/bangladesh/2731079-samsung-galaxy-tab-a-8-inch.html
Apple iphone 12 pro Whatsapp: +15812055491,"59,347",https://www.clickbd.com/bangladesh/2731054-apple-iphone-12-pro-whatsapp-15812055491.html
,,https://www.clickbd.com/search?category=mobile-phones
Apple iphone 11 pro max Whatsapp: +15812055491,"50,868",https://www.clickbd.com/bangladesh/2731050-apple-iphone-11-pro-max-whatsapp-15812055491.html
Apple iphone 11 pro max Whatsapp: +15812055491,"4,695",https://www.clickbd.com/bangladesh/2731049-apple-iphone-11-pro-max-whatsapp-15812055491.html
Realme 7 Pro 8/128 Intact Official Warranty,"24,999",https://www.clickbd.com/bangladesh/2730982-realme-7-pro-8-128-intact-official-warranty.html
Brand New Samsung Galaxy Note 10 Plus DUOS 12GB/256GB,"47,500",https://www.clickbd.com/bangladesh/2730946-brand-new-samsung-galaxy-note-10-plus-duos-12gb-256gb.html
