title,Year,Duration,Genere,Rating,Release Date
Princess Mononoke ,1997,,Animation,8.4,Adventure
Witness for the Prosecution ,1957,,Crime,8.4,Drama
Oldboy ,2003,,Action,8.4,Drama
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,"14 October 1994 (USA)
"
Once Upon a Time in America ,1984,,Crime,8.4,Drama
The Dark Knight Rises ,2012,,Action,8.4,Adventure
Spider-Man: Into the Spider-Verse ,2018,,Animation,8.4,Action
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,,Comedy,8.4,"29 January 1964 (USA)
"
Sunset Blvd. ,1950,,Drama,8.4,Film-Noir
WALL·E ,2008,,Animation,8.4,Adventure
The Shining ,1980,142 min,Drama,8.4,Horror
Paths of Glory ,1957,,Drama,8.4,War
The Lives of Others ,2006,,Drama,8.4,Mystery
Joker ,2019,,Crime,8.5,Drama
Avengers: Infinity War ,2018,,Action,8.4,Adventure
Winter Sleep ,2014,,Drama,8.1,"12 June 2014 (Turkey)
"
The Circus ,1928,,Comedy,8.1,Romance
Django Unchained ,2012,,Drama,8.4,Western
Tangerines ,2013,,Drama,8.2,War
The Battle of Algiers ,1966,,Drama,8.1,War
The Terminator ,1984,,Action,8,Sci-Fi
The Princess Bride ,1987,,Adventure,8,Family
The Help ,2011,,Drama,8,"10 August 2011 (USA)
"
The Invisible Guest ,2016,,Crime,8.1,Drama
It Happened One Night ,1934,,Comedy,8.1,Romance
Drishyam ,2015,,Crime,8.2,Drama
"Paris, Texas ",1984,,Drama,8.1,"23 August 1984 (UK)
"
Portrait of a Lady on Fire ,2019,,Drama,8.1,Romance
In the Mood for Love ,2000,,Drama,8.1,Romance
Before Sunset ,2004,,Drama,8.1,Romance
Rebecca ,1940,,Drama,8.1,Mystery
Rang De Basanti ,2006,,Comedy,8.2,Drama
Gangs of Wasseypur ,2012,,Action,8.2,Crime
Rocky ,1976,,Drama,8.1,Sport
Rififi ,1955,,Crime,8.2,Drama
"Monsters, Inc. ",2001,,Animation,8,Adventure
La Haine ,1995,,Crime,8.1,Drama
Hotel Rwanda ,2004,,Biography,8.1,Drama
Andrei Rublev ,1966,,Biography,8.1,Drama
The 400 Blows ,1959,,Crime,8.1,Drama
The Handmaiden ,2016,,Drama,8.1,Romance
Rush ,2013,,Action,8.1,Biography
Nausicaä of the Valley of the Wind ,1984,,Animation,8.1,Adventure
Amores Perros ,2000,,Drama,8.1,Thriller
Monty Python's Life of Brian ,1979,,Comedy,8.1,"17 August 1979 (USA)
"
The Wages of Fear ,1953,,Adventure,8.1,Drama
Into the Wild ,2007,,Adventure,8.1,Biography
Logan ,2017,,Action,8.1,Drama
Spotlight ,2015,,Biography,8.1,Crime
Platoon ,1986,,Drama,8.1,War
Hachi: A Dog's Tale ,2009,,Drama,8.1,Family
The Passion of Joan of Arc ,1928,,Biography,8.1,Drama
Ben-Hur ,1959,,Adventure,8.1,Drama
Cool Hand Luke ,1967,,Crime,8.1,Drama
Harry Potter and the Deathly Hallows: Part 2 ,2011,,Adventure,8.1,Drama
Dead Poets Society ,1989,,Comedy,8.1,Drama
Network ,1976,,Drama,8.1,"27 November 1976 (USA)
"
Million Dollar Baby ,2004,,Drama,8.1,Sport
Stand by Me ,1986,,Adventure,8.1,Drama
Barry Lyndon ,1975,,Adventure,8.1,Drama
Mr. Smith Goes to Washington ,1939,,Comedy,8.1,Drama
12 Years a Slave ,2013,,Biography,8.1,Drama
Vikram Vedha ,2017,,Action,8.5,Crime
The Bandit ,1996,,Crime,8.2,Drama
Ford v Ferrari ,2019,,Action,8.1,Biography
How to Train Your Dragon ,2010,,Animation,8.1,Action
